timestamp,model,purpose,input_tokens,output_tokens,cost_usd
2026-05-15T13:01:31.923232,claude-opus-4-7,arc_generation,3862,16061,1.262505
2026-05-15T13:01:41.957433,claude-sonnet-4-20250514,verify_ai_post_1,1419,243,0.007902
2026-05-15T13:01:56.060088,claude-sonnet-4-20250514,verify_readability_post_1,1061,290,0.007533
2026-05-15T13:02:19.927511,claude-sonnet-4-20250514,verify_coherence_post_1,1042,1334,0.023136
2026-05-15T13:02:26.168335,claude-sonnet-4-20250514,verify_ai_post_2,1465,204,0.007455
2026-05-15T13:02:31.601197,claude-sonnet-4-20250514,verify_readability_post_2,1107,321,0.008136
2026-05-15T13:02:42.661141,claude-sonnet-4-20250514,verify_coherence_post_2,1088,1050,0.019014
2026-05-15T13:02:48.582808,claude-sonnet-4-20250514,verify_ai_post_3,1517,178,0.007221
2026-05-15T13:03:05.504125,claude-sonnet-4-20250514,verify_readability_post_3,1159,1479,0.025662
2026-05-15T13:03:19.410542,claude-sonnet-4-20250514,verify_coherence_post_3,1140,1160,0.02082
2026-05-15T13:03:25.560235,claude-sonnet-4-20250514,verify_ai_post_4,1627,237,0.008436
2026-05-15T13:03:31.609467,claude-sonnet-4-20250514,verify_readability_post_4,1269,389,0.009642
2026-05-15T13:03:49.992337,claude-sonnet-4-20250514,verify_coherence_post_4,1250,1497,0.026205
2026-05-15T13:03:57.231108,claude-sonnet-4-20250514,verify_ai_post_5,1627,232,0.008361
2026-05-15T13:04:21.071006,claude-sonnet-4-20250514,verify_readability_post_5,1269,1732,0.029787
2026-05-15T13:04:42.063599,claude-sonnet-4-20250514,verify_coherence_post_5,1250,1472,0.02583
2026-05-15T13:04:49.200583,claude-sonnet-4-20250514,verify_ai_post_6,1718,234,0.008664
2026-05-15T13:04:58.457567,claude-sonnet-4-20250514,verify_readability_post_6,1360,442,0.01071
2026-05-15T13:05:10.224222,claude-sonnet-4-20250514,verify_coherence_post_6,1341,474,0.011133
2026-05-15T13:05:17.270834,claude-sonnet-4-20250514,verify_ai_post_7,1776,223,0.008673
2026-05-15T13:05:25.790229,claude-sonnet-4-20250514,verify_readability_post_7,1418,446,0.010944
2026-05-15T13:05:35.927558,claude-sonnet-4-20250514,verify_coherence_post_7,1399,396,0.010137
2026-05-15T13:05:37.668011,claude-sonnet-4-20250514,verify_aita,742,77,0.003381
2026-05-15T13:05:47.089532,claude-sonnet-4-20250514,verify_arc_flow,1671,414,0.011223
